samples,G35348,G35349,G35350,G35351,G35352,G35354,G35355,G35356,G35359,G35361,G35364,G35365,G35366,G35368,G35370,G35372,G35373,G35374,G35381,G35386,G35387,G35388,G35390,G35391,G35392,G35394,G35395,G35397,G35398,G35403,G35404,G35406,G35407,G35409,G35412,G35414,G35416,G35417,G35418,G35419,G35421,G35422,G35423,G35424,G35433,G35437,G35441,G35442,G35443,G35444,G35445,G35447,G35448,G35449,G35453,G35455,G35458,G35462,G35463,G35464,G35465,G35467,G35469,G35470,G35473,G35475,G35476,G35477,G35480,G35481,G35484,G35486,G35487,G35490,G35495,G35497,G35498,G35504,G35505,G35510,G35511,G35512,G35513,G35514,G35515,G35516,G35517,G35518,G35519,G35520,G35521,G35522,G35523,G35524,G35525,G35526,G35527,G35528,G35529,G35530,G35531,G35532,G35533,G35534,G35535,G35536,G35537,G35867,G35868,G35869,G35874,G35876,G35878,G35881,G35891,G35892,G35894,G35898,G35900,G35901,G35902,G35906,G35908,G35915,G35923,G35924,G35925,G35926,G35928,G35932,G35933,G35934,G35936,G35937,G35938,G35939,G35940,G35941,G35942,G35944,G35945,G35946,G35947,G35948,G35950,G35951,G35952,G35953,G35954,G35955,G35956,G35957,G35958,G35959,G35960,G35961,G35962,G35963,G35965,G35966,G35967,G35969,G35970,G35971,G35972,G35973,G35974,G35975,G35976,G35977,G35978,G35979,G35980,G35981,G35982,G35983,G35984,G35985,G35986,G35987,G35988,G35989,G35990,G35991,G35992,G35993,G35994,G35995,G35996,G35997,G35998,G35999,G36000,G36001,G36002,G36003,G36004,G36005,G36006,G36007,G36008,G36010,G36011,G36012,G36013,G36015,G36016,G36017,G36018,G36019,G36020,G36021,G36022,G36023,G36024,G36025,G36026,G36028,G36029,G36030,G36031,G36032,G36033,G36034,G36035,G36036,G36037,G36038,G36039,G36040,G36041,G36042,G36043,G36044,G36045,G36046,G36047,G36048,G36049,G36050,G36051,G36052,G36053,G36054,G36133,G36134,G36135,G36136,G36137,G36138,G36139,G36140,G36141,G36142,G36143,G36144,G36145,G36146,G36147,G36148,G36149,G36150,G36151,G36152,G36153,G36154,G36155,G36156,G36157,G36158,G36159,G36160,G36161,G36162,G36163,G36164,G36165,G36166,G36167,G36168,G36169,G36170,G36171,G36172,G36173,G36174,G36175,G36176,G36177,G36179,G36180,G36181,G36182,G36183,G36184,G36185,G36186,G36187,G36188,G36189,G36190,G36191,G36192,G36193,G36194,G36195,G36196,G36197,G36198,G36199,G36200,G36201,G36202,G36203,G36204,G36205,G36206,G36207,G36208,G36209,G36210,G36211,G36212,G36213,G36214,G36215,G36216,G36217,G36219,G36220,G36221,G36222,G36223,G36224,G36225,G36226,G36227,G36228,G36229,G36230,G36231,G36232,G36233,G36234,G36235,G36236,G36237,G36238,G36239,G36240,G36241,G36242,G36243,G36244,G36245,G36246,G36247,G36248,G36249,G36250,G36251,G36252,G36253,G36254,G36255,G36256,G36257,G36258,G36259,G36260,G36261,G36262,G36263,G36264,G36265,G36266,G36267,G36268,G36269,G36270,G36271,G36272,G36273,G36274,G36275,G36276,G36277,G36279,G36280,G36281,G36282,G36283,G36284,G36285,G36286,G36287,G36288,G36289,G36290,G36291,G36292,G36293,G36294,G36295,G36296,G36297,G36298,G36299,G36300,G36301,G36302,G36303,G36304,G36305,G36306,G36307,G36308,G36309,G36310,G36311,G36312,G36313,G36314,G36315,G36316,G36317,G36318,G36319,G36320,G36321,G36322,G36406,G36408,G36413,G36417,G36419,G36420,G36421,G36422,G36423,G36424,G36429,G36430,G36431,G36432,G36433,G36434,G36435,G36436,G36437,G36438,G36439,G36440,G36441,G36442,G36443,G36444,G36445,G36446,G36448,G36449,G36450,G36451,G36452,G36453,G36454,G36455,G36456,G36457,G36458,G36459,G36460,G36461,G36462,G36463,G36464,G36465,G36466,G36467,G36468,G36470,G36471,G36472,G36473,G36474,G36475,G36476,G36477,G36478,G36479,G36480,G36481,G36482,G36484,G36485,G36486,G36487,G36488,G36489,G36490,G36491,G36492,G36493,G36494,G36495,G36496,G36497,G36498,G36499,G36500,G36501,G36502,G36503,G36505,G36506,G36507,G36508,G36509,G36510,G36511,G36512,G36513,G36514,G36515,G36516,G36517,G36518,G36519,G36520,G36521,G36522,G36523,G36524,G36525,G36526,G36527,G36528,G36529,G36530,G36531,G36532,G36533,G36534,G36535,G36536,G36537,G36538,G36540,G36541,G36542,G36543,G36544,G36545,G36546,G36547,G36548,G36549,G36550,G36551,G36552,G36553,G36554,G36555,G36556,G36557,G36558,G36748,G36750,G36751,G36752,G36753,G36755,G36756,G36757,G36759,G36760,G36761,G36762,G36763,G36764,G36765,G36766,G36769,G36771,G36772,G36773,G36776,G36777,G36778,G36779,G36780,G36783,G36784,G36785,G36786,G36787,G36788,G36789,G36791,G36795,G36796,G36797,G36798,G36799,G36803,G36807,G36808,G36809,G36810,G36811,G36813,G36814,G36815,G36816,G36818,G36819,G36820,G36822,G36823,G36824,G36826,G36827,G36829,G36830,G36831,G36834,G36835,G36837,G36838,G36839,G36840,G36843,G36844,G36845,G36846,G36847,G36848,G36849,G36850,G36851,G36854,G36855,G36856,G36857,G36858,G36859,G36860,G36861,G36862,G36863,G36864,G36865,G36866,G36867,G36868,G36870,G36871,G36872,G36873,G36874,G36875,G36877,G36878,G36879,G36880,G36881,G36882,G36883,G36884,G36885,G36886,G36887,G36888,G36889,G36890,G36891,G36892,G36893,G36894,G36895,G36896,G36897,G36898,G36899,G36900,G36902,G36904,G36905,G36906,G36910,G36911,G36917,G36918,G36921,G36923,G36925,G36927,G36928,G36930,G36932,G36933,G36935,G36936,G36937,G36938,G36940,G36944,G36948,G36951,G36952,G36953,G36957,G36958,G36959,G36960,G36964,G36966,G36968,G36972,G36973,G36974,G36982,G36984,G36987,G36988,G36991,G36992,G36993,G36998,G37004,G37005,G37009,G37010,G37011,G37012,G37013,G37014,G37015,G37016,G37017,G37018,G37019,G37020,G37021,G37022,G37023,G37024,G37025,G37026,G37027,G37028,G37029,G37030,G37031,G37032,G37033,G37034,G37035,G37036,G37037,G37038,G37039,G37040,G37041,G37042,G37043,G37044,G37045,G37046,G37047,G37048,G37049,G37050,G37051,G37052,G37053,G37054
c__4C0d-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000017,,,0.000011,,,,,,,,,,,,,,,,,,,,,,,0.000007,,0.006224,,,,,,0.000006,,0.002572,,,,,,0.002056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048713,,,,,,,,0.000092,0.001103,,,0.00003,,0.000235,,,0.000327,0.000871,0.000918,0.003048,0.000031,0.001475,0.000731,0.001481,0.000792,,,,,,,,,,,,,,,0.000137,0.018083,0.000628,,,,,,,,,,,,,,,,,,,,,,,0.000082,,,,,,,,,,,,,,0.00001,,,,,,,,,,,0.000004,0.000006,,,,,,,,,,,,,,,,,,,,,,0.000014,,,,,,,,,,,,,,,,,,,,,0.000029,,,,,,,,,0.000011,0.000116,,,0.043076,0.008327,0.000731,0.008965,0.000009,,,,,,,0.000014,,,,0.000014,,,0.000012,,0.046881,0.002361,,,,0.000032,0.02492,0.000313,0.034123,0.005506,,,,0.000019,0.00001,,,,0.000014,,,,,,,,,,,,,,,,,,,,,,,,,0.000014,,,,,,,,,,,,,,0.002746,,0.000009,,,,,,,0.001012,0.000635,0.000185,,,0.000018,,,,,,0.000019,,,,,,,,,,,,,,,,,,0.000283,0.000577,0.000247,0.001279,,,,,,,,,,,0.000355,0.000208,0.000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000019,,,,0.000015,0.006512,,,,,,0.003224,,,,,,0.009114,,,,0.013718,0.015418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001631,0.000131,,,0.000005,,,,,,,,,0.000173,,,,,,,,,,,,,,,,,,,,,,0.000011,,,,0.006715,,,0.000005,,0.000016,,0.000011,,0.000425,0.000006,,,,,,,,0.000011,,,,,,,,,0.000744,0.000759,0.000527,0.000009,,,,,,,,,,,,,,0.000035,,,,,,,,,,0.000009,,,,,0.000007,,0.006443,0.000007,0.000031,0.000012,,,,0.001511,0.013959,0.000035,0.009421,0.002853,0.000105,0.000293,0.000163,0.004825,,,0.000004,,,,0.000007,,0.000846,,,,,0.000019,0.000006,0.00001,,,,,0.000166,,0.000008,,,,,,0.00007,,,0.000018,,,,0.000158,0.000855,,,,,,,,,,,,0.087449,,,,,,,,,,,,,,,,,,,,,,,,,0.000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002886,,,,,,,,,0.006377,,0.00004,,,,,,,,,,,0.000008,,0.000008
c__Actinobacteria,0.007545,0.037558,0.00657,0.014849,0.029963,0.027373,0.022277,0.071596,0.020264,0.005966,0.004863,0.013938,0.016821,0.022368,0.02342,0.049329,0.054469,0.073157,0.001535,0.011669,0.005897,0.090305,0.034428,0.011236,0.000757,0.000617,0.003049,0.001567,0.00138,0.002545,0.053907,0.000026,0.000066,0.000052,0.01769,0.041591,0.044153,0.033953,0.017617,0.004208,0.018068,0.016359,0.002976,0.004308,0.022652,0.027807,0.008936,0.004477,0.001923,0.03267,0.015356,0.036709,0.017357,0.006993,0.000961,0.001846,0.005306,0.00248,0.014223,0.028146,0.009296,0.000858,0.008454,0.008825,0.002471,0.008475,0.006646,0.006307,0.04424,0.090048,0.000882,0.035341,0.013294,0.021713,0.052163,0.044797,0.020402,0.002221,0.002775,0.002635,0.027544,0.001038,0.005383,0.00306,0.007055,0.014576,0.006886,0.011272,0.012652,0.011782,0.009003,0.00474,0.010801,0.010696,0.05611,0.081957,0.067959,0.006818,0.01146,0.007586,0.010214,0.005947,0.004979,0.012087,0.004536,0.008312,0.003608,0.002296,0.039744,0.070271,0.146924,0.014991,0.001761,0.003218,0.007322,0.002867,0.000166,0.017099,0.000318,0.044894,0.078159,0.00201,0.007259,0.005094,0.023095,0.037833,0.01309,0.007533,0.005961,0.024037,0.013193,0.016929,0.016454,0.01176,0.000921,0.011136,0.008708,0.006631,0.017329,0.012988,0.008935,0.018302,0.017096,0.009135,0.025021,0.000029,0.000072,0.00005,0.000183,0.000203,0.038974,0.022556,0.019301,0.037327,0.009195,0.004501,0.00605,0.008736,0.002217,0.005441,0.004424,0.072608,0.024973,0.000169,0.019527,0.015101,0.000892,0.00012,0.008655,0.018061,0.01278,0.01308,0.005808,0.017969,0.021748,0.007315,0.007455,0.020765,0.042557,0.014903,0.029345,0.025528,0.017847,0.030705,0.018894,0.014287,0.015705,0.021452,0.005793,0.002779,0.004467,0.000072,0.00342,0.004219,0.002106,0.004752,0.019804,0.007763,0.023683,0.021226,0.008643,0.009867,0.006595,0.005603,0.007061,0.008261,0.024307,0.015225,0.009253,0.010942,0.030526,0.024894,0.006379,0.005779,0.012914,0.005036,0.002309,0.008595,0.006838,0.002587,0.027081,0.025511,0.020206,0.014274,0.038732,0.018248,0.009746,0.025967,0.000028,0.000036,0.000047,0.020905,0.001521,0.003694,0.003076,0.014308,0.005176,0.00819,0.000368,0.006324,0.01098,0.003755,0.038232,0.029709,0.033645,0.019216,0.068968,0.049527,0.061332,0.002852,0.002523,0.006397,0.00439,0.00486,0.001827,0.017005,0.027761,0.029514,0.084072,0.091225,0.002118,0.013908,0.007656,0.008965,0.003395,0.002259,0.003888,0.007375,0.002768,0.009257,0.000167,0.000351,0.001403,0.030728,0.024663,0.040546,0.007631,0.00096,0.003859,0.00148,0.005445,0.005356,0.006918,0.046477,0.019786,0.00054,0.001505,0.00047,0.011716,0.000211,0.014337,0.00026,0.001668,0.00043,0.000638,0.025906,0.022893,0.0293,0.009648,0.028403,0.020988,0.016469,0.014106,0.020177,0.025005,0.018494,0.015784,0.015431,0.02665,0.003849,0.007919,0.000774,0.001594,0.006543,0.004433,0.002244,0.003079,0.010913,0.004679,0.025272,0.02949,0.005197,0.008101,0.000252,0.009158,0.000092,0.007862,0.001577,0.003491,0.004462,0.00493,0.014376,0.020045,0.003356,0.001003,0.018152,0.008223,0.012985,0.025591,0.028318,0.018652,0.028441,0.003451,0.003236,0.006678,0.007915,0.00737,0.041724,0.002084,0.004459,0.001835,0.002395,0.003588,0.005735,0.000121,0.016403,0.024721,0.009244,0.012782,0.003811,0.007338,0.012299,0.009252,0.01047,0.017151,0.001688,0.00132,0.002957,0.020978,0.008852,0.009113,0.014685,0.008319,0.023641,0.021258,0.013084,0.024875,0.000188,0.039266,0.002781,0.001154,0.003804,0.002488,0.004389,0.003432,0.012772,0.016074,0.000323,0.000038,0.013108,0.021284,0.009349,0.032693,0.004109,0.005647,0.001146,0.004661,0.005654,0.013641,0.008799,0.004567,0.017099,0.013664,0.046236,0.005779,0.009373,0.007694,0.005318,0.018412,0.003901,0.000091,0.050736,0.005479,0.012324,0.004423,0.009489,0.010434,0.007501,0.003339,0.00793,0.012188,0.006529,0.001207,0.025809,0.010108,0.003477,0.002904,0.013231,0.055087,0.006659,0.001325,0.014016,0.059913,0.07548,0.008435,0.029148,0.014798,0.001871,0.005237,0.013012,0.008913,0.011247,0.027145,0.027397,0.014189,0.013404,0.006432,0.029795,0.002229,0.001695,0.001621,0.017536,0.002153,0.021211,0.009755,0.013838,0.021032,0.011854,0.008283,0.014244,0.015947,0.027679,0.002351,0.017361,0.00261,0.039738,0.000187,0.002552,0.001522,0.003974,0.02409,0.001578,0.000695,0.003619,0.002084,0.013783,0.016721,0.001635,0.000141,0.002705,0.018562,0.01923,0.000953,0.002557,0.002973,0.012565,0.022665,0.013758,0.007722,0.008895,0.016554,0.006789,0.021056,0.016091,0.002365,0.027484,0.01459,0.02947,0.001353,0.010276,0.019536,0.002562,0.003346,0.010728,0.015255,0.01021,0.038621,0.001758,0.001334,0.004818,0.002523,0.002535,0.0008,0.002096,0.001654,0.018013,0.000095,0.000037,0.000034,0.00005,0.000045,0.000045,0.000031,0.001857,0.000611,0.004038,0.006919,0.006789,0.023525,0.009761,0.012731,0.026422,0.009996,0.005041,0.02258,0.009692,0.011724,0.012387,0.005299,0.03435,0.028871,0.058691,0.012545,0.023785,0.009408,0.016451,0.015684,0.018403,0.01123,0.007933,0.02094,0.008741,0.006708,0.008657,0.022607,0.00787,0.008997,0.010271,0.016853,0.013003,0.01324,0.031834,0.005211,0.001481,0.013505,0.025943,0.019045,0.015702,0.010997,0.000492,0.000143,0.013028,0.01711,0.012424,0.004998,0.001575,0.000844,0.00095,0.001562,0.002463,0.000736,0.005231,0.007957,0.001882,0.011645,0.001381,0.042895,0.05287,0.078882,0.009449,0.009676,0.009685,0.00114,0.000112,0.01963,0.021327,0.015169,0.018169,0.119753,0.026556,0.042966,0.000132,0.001173,0.015123,0.017123,0.018261,0.022214,0.039682,0.069547,0.004158,0.013921,0.080207,0.074712,0.009236,0.057786,0.011363,0.009746,0.065613,0.015698,0.012468,0.002073,0.046546,0.005216,0.029942,0.023811,0.003639,0.002579,0.006686,0.038468,0.008671,0.001582,0.01004,0.000458,0.020029,0.00792,0.00472,0.000037,0.000037,0.012898,0.000757,0.004472,0.002208,0.003364,0.005792,0.004324,0.006158,0.008648,0.00612,0.012667,0.011741,0.00815,0.004711,0.004642,0.00478,0.011,0.009646,0.002941,0.029807,0.006138,0.033171,0.01141,0.001133,0.000678,0.006254,0.001484,0.000814,0.012024,0.000908,0.003327,0.026657,0.010673,0.007799,0.000885,0.012036,0.001107,0.003432,0.001521,0.001537,0.007194,0.002267,0.001265,0.000939,0.005635,0.004003,0.001858,0.010237,0.00292,0.002031,0.008923,0.037049,0.025894,0.008293,0.007737,0.000795,0.017423,0.005296,0.005809,0.001832,0.004077,0.001319,0.013568,0.003777,0.00491,0.001615,0.0054,0.059175,0.002724,0.002159,0.007512,0.002898,0.001845,0.070442,0.000061,0.043571,0.012136,0.01237,0.027595,0.020659,0.012328,0.009931,0.004467,0.00004,0.000053,0.016554,0.04296,0.006055,0.013544,0.080576,0.016008,0.022566,0.020699,0.007086,0.007565,0.054235,0.061498,0.003416,0.00509,0.007129,0.013179,0.001431,0.019337,0.001794,0.002293,0.030542,0.027491,0.00851,0.004628,0.00612,0.05791,0.023205,0.022912,0.003883,0.00043,0.043001,0.006696,0.030939,0.001649,0.033896,0.025048,0.004646,0.001836,0.000492,0.000477,0.027447,0.051747,0.018505,0.0423,0.013798,0.060019,0.005658,0.003619,0.011588,0.051535,0.057233,0.004215,0.040508,0.007858
c__Alphaproteobacteria,,,0.003519,,,,,,0.000014,0.000018,0.000031,,,0.00005,0.000025,,0.000022,,0.000024,0.00016,0.000031,,,0.000031,0.000027,0.000321,0.000477,0.000237,0.000035,0.000039,,,,,0.000006,,,,0.000023,0.0011,,0.000031,,,,,,,,0.00014,,,0.00056,,0.000087,,0.000674,0.000161,0.000548,,0.000022,0.000014,,,,0.000175,0.0006,0.00001,,,0.00001,,0.000042,0.000643,,,,0.000061,,,,0.000252,0.000082,0.00022,,,0.000008,0.000645,,0.000251,0.000048,,,,,0.000078,,0.000032,0.000092,,,,,,,0.000201,,,,0.000833,,,,,,,,,,,,,,,0.00001,0.000228,0.000092,0.000828,,0.000371,,0.000008,0.000034,,0.004176,0.000981,0.000141,,0.000014,0.000385,0.000009,0.000122,,,,,0.000024,0.000025,,,,,,,,0.00014,0.000026,,,,0.000022,,,,0.000096,0.00004,0.000029,,0.000269,,,0.000042,,0.000011,0.001112,0.000143,,,,,,,0.000207,0.000027,0.000029,0.000016,0.000467,,0.000023,0.000444,0.000374,,,,0.000272,0.000048,0.000065,0.009598,0.002843,0.000875,0.005777,0.000739,0.000265,0.000621,0.002017,0.011466,0.004844,0.006735,0.006094,0.009104,,,0.005477,0.000419,0.000221,,0.000026,0.000046,0.00002,0.000034,0.000039,0.000015,0.002099,,,,,,,,,,0.000052,,,,,,,0.002356,,,,,0.000035,0.000023,,,0.000138,0.000189,,,0.000143,0.000198,0.000064,0.000139,,0.000148,,,0.000028,0.000258,0.000053,0.000029,,0.000075,,,0.000066,,,0.00296,,,,,,,,,0.000057,,0.0001,,,,0.000057,0.000184,0.000027,,,,,0.000011,,,,,,,,,,,,0.000027,,,,0.001046,0.000013,0.000051,,,,,,,,,,,,,0.000048,,,,,0.000017,,,,0.000604,0.000172,,0.000073,,,,0.00058,0.000062,0.001718,0.000067,0.000153,0.000022,,,,,,0.000121,0.000701,0.000263,,,,,,,0.000096,,0.000039,0.000018,,,,0.000035,,,,0.000339,,,,0.000011,,,,,0.000455,0.000104,0.000008,0.000986,,,,0.000688,,0.000386,,,,0.000047,0.000074,0.000116,0.000083,,,0.000045,,,,,0.000037,,,,,,0.000052,,0.000011,0.000055,0.006666,,,,0.000054,0.000041,,0.000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000097,0.004118,,,,0.000241,,0.000082,0.000081,0.00005,0.00012,,,0.000056,,,,,0.021765,,,,0.000021,,0.002404,0.000009,,,0.000053,0.000045,0.018249,,,,,0.00749,0.000181,0.000025,,,,0.003919,,,,,,,,,,,,,,,,,0.000013,0.000033,0.000419,0.000212,,,,0.000182,0.000019,,,,,,,,,0.003813,0.000987,0.000063,,0.001781,0.000107,0.001108,0.049075,0.000049,,0.000282,0.000402,0.004153,0.002094,0.000942,,0.002161,0.001811,,0.000019,0.000015,,,,0.000005,0.001717,,,0.000033,0.00161,0.000153,0.000028,,,0.00005,,0.000649,0.000167,0.000075,0.000036,,,0.000025,,0.000146,,,,,,0.000005,,0.000008,0.000009,0.000011,,,,,,,,,0.000719,0.000045,,,,,0.000012,0.00003,0.022012,0.000017,,0.000074,,,0.000017,,,0.000009,0.000015,0.000067,,,,,,0.00023,,,0.000069,,,,0.000082,0.000007,,0.000113,,,0.018669,0.000016,0.004228,,,,,0.000006,0.000007,,0.000175,,,,,0.000738,0.010769,0.002512,,,,0.000018,0.000008,,,,0.000026,0.000019,,,,0.000106,0.000019,,,0.016699,0.00001,,0.00001,,,0.00004,0.000027,0.000087,,0.000033,,0.000011,,0.000005,,0.000064,0.000007,,0.000905,0.000006,,,0.000124,0.00014,0.052139,0.000008,,0.000022,,,0.001232,0.000108,,,0.005359,0.002608,0.007166,,,,0.000804,0.00053,,0.000036,,0.000152,0.002621,0.000079,,0.00035,,,,,,0.053657,,0.001687,0.000358,,,0.018213,,,,,,0.000324,0.000021,,0.000685,,,,0.00003,0.000063,,0.000012,,,0.00001,0.000536,,,,,,,,0.000109,0.000026,0.001148,,,,,0.000181,,,0.000175,0.004792,0.006393,0.00004,,,,,0.000584,,,0.000187,,,0.004071,0.000502,0.002399
